col,base,lag,PI_h1,PI_h2,PI_h3,SA_gain_e0_h1,SA_gain_e0_h2,SA_gain_e0_h3,SA_gain_b0306_h1,SA_gain_b0306_h2,SA_gain_b0306_h3,MI_minus_null_h1,MI_minus_null_h2,MI_minus_null_h3,PI_plus,SA_plus,MI_plus,keep_R1,keep_R2,keep_R3,keep_R4
fine:t-32m:minute_mod5_cos,minute_mod5_cos,t-32m,0.0,0.0,0.0,-0.017517907746578132,0.06405527367137065,0.08265540247952563,-0.00786800300596191,0.07848494006562623,0.10027855743554026,0.008318668477419688,0.0,0.007794786423410915,False,True,True,True,True,False,True
fine:t-32m:time_of_day_sin,time_of_day_sin,t-32m,0.0,0.0,0.0,-0.006726316086447248,-0.017796682734672054,-0.026253294386591186,-0.00949626618327315,0.03826127080743813,0.010222279300997617,-0.00807976329428417,0.021795139942129893,0.034781846125722105,False,False,True,True,False,False,False
fine:t-32m:time_of_day_cos,time_of_day_cos,t-32m,0.0,0.0,0.0,-0.007973284637641243,-0.028838596514901838,-0.0577867283447997,-0.0032179812231802885,0.06891992269427716,0.028677796418496992,0.004403878278011142,0.030479265448845716,0.04711901771729998,False,False,True,True,False,False,False
fine:t-32m:rsi15_centered,rsi15_centered,t-32m,2.7443657179067788e-05,-0.0019117412328644907,0.0001446686685824261,-0.020349720115331316,0.05541544842677659,0.034953213096000635,-0.01069954215537905,0.052869223437146395,0.058888515624488935,0.008342142211650305,0.023878725346191843,0.011719692266535908,True,True,True,True,True,True,True
fine:t-32m:macd_hist_5_20_7_volnorm,macd_hist_5_20_7_volnorm,t-32m,0.00034058351567030815,-0.0015853345127775735,-0.006117971606660906,-0.01263338896833055,-0.03667815777055328,-0.06520771656641777,-0.002983955496582702,-0.0013806813457417633,0.025068411182660455,-0.00783279821185534,0.0020392053073878813,6.926170073029425e-05,False,False,True,True,False,False,False
fine:t-32m:macd_hist_acceleration,macd_hist_acceleration,t-32m,-0.0020590705691982216,0.0,0.0,0.09426671070853487,0.021133368799264307,-0.016954665808621705,-0.04771087126642648,-0.020463005930326794,0.011567163034575945,-0.0007270196490276604,0.0008379085155247878,-0.00011765492588899917,False,True,False,True,False,False,True
fine:t-32m:ema_gap_8_32_volnorm,ema_gap_8_32_volnorm,t-32m,0.0,0.0,-0.0011364580399231272,-0.0197483942677934,-0.04199531308339832,-0.05618450053790358,-0.01009827432505439,0.05159584333953582,0.029683897381138635,0.0019439915230137217,0.006232446131568814,0.006011635802263271,False,False,True,True,False,False,False
fine:t-32m:hma_slope16_volnorm,hma_slope16_volnorm,t-32m,0.0013205598976474182,0.0,0.0,-0.014175542683236841,0.0908125685153971,-0.003964500133690763,-0.036868199051087736,0.09544501179472586,0.07712002308150057,-0.000780264154816912,0.000246254519605138,0.008243126516775057,False,False,True,True,False,False,False
fine:t-32m:sign_flip_rate8,sign_flip_rate8,t-32m,-0.00020242198106738366,0.0,0.0,0.009623574906914012,-0.041777437751955304,-0.060805569632282896,-0.010567690965435084,0.05599372663014357,0.04297521760128209,0.005022225648866563,0.016937370063813795,0.002813258323147938,False,False,True,True,False,False,False
fine:t-16m:return1,return1,t-16m,0.0,0.0,0.0,-0.0013815911470427267,-0.03541225391103797,-0.06121044882205773,-0.010033017969268698,0.0485073592532137,0.04256995328312252,0.03438573317120852,0.014409495097424063,0.016236608194090785,False,False,True,True,False,False,False
