record_type,model,fold,horizon_minutes,seed,n_origins,rmse_usd,mae_usd,r2,rmse_e0_saved_usd,rmse_gain_vs_e0,r2_os_vs_e0,aggregation
mean_over_eval_seeds,tfm,fold2_2025-05-30,3,all,4309,82.37589971100068,57.42794065953754,0.9879151109353111,82.1496112451706,-0.002754589612782669,-0.005518301333491553,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold3_2025-10-19,1,all,4317,78.1952832603839,50.96190929258598,0.9973819120145881,77.7121588887322,-0.006216844037796321,-0.012482695992508397,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold3_2025-10-19,2,all,4317,110.18297950248439,75.10630878098279,0.9948044949521234,108.93836980236009,-0.01142489742027819,-0.023040284431513253,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold3_2025-10-19,3,all,4317,135.6871085213517,93.85131689616124,0.9921250031613482,133.66494505420908,-0.015128599845849763,-0.03060320548193222,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold4_2026-03-11,1,all,4317,46.03988133722066,31.56826232212408,0.9968957724272967,45.93481574241685,-0.002287275851784676,-0.004580329326850929,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold4_2026-03-11,2,all,4317,66.13716467779714,45.082421211578826,0.9935939558562076,65.86993983257041,-0.0040568557661653975,-0.008131086548411956,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold4_2026-03-11,3,all,4317,81.05662266765991,55.35611751740657,0.9903775639504264,80.56711274063696,-0.006075803269738407,-0.01218952444077607,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold5_2026-08-01,1,all,4300,25.278808668001577,16.02131812408176,0.9966985377736339,25.256956491416414,-0.0008651943710078491,-0.0017313305030111081,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold5_2026-08-01,2,all,4300,35.78663621977408,23.61349540780419,0.9933867900520418,35.74012664147736,-0.0013013266226859315,-0.002604926818707239,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold5_2026-08-01,3,all,4300,43.50294211617779,29.083191053999826,0.9902316680032994,43.41365554405294,-0.0020566471771594763,-0.004118998193398375,mean over seed-specific metrics; E0 reused from wins artifact
