path_number,fold,origin_idx,timestamp_utc,horizon_minutes,actual_seed,origin_close_usd,actual_price_usd,e0_price_usd,tfm_price_usd,autots_price_usd,actual_delta_usd,e0_delta_usd,tfm_delta_usd,autots_delta_usd
25,fold5_2026-08-01,1004041,2026-08-01T22:30:00+00:00,3,8587,62847.33,62851.75,62847.33,62850.670719603106,62841.41542797829,4.419999999998254,0.0,3.340719603103935,-5.9145720217129565
26,fold5_2026-08-01,1004760,2026-08-02T10:29:00+00:00,1,8587,63140.0,63154.01,63140.0,63139.48901496351,63141.2808349173,14.010000000002037,0.0,-0.5109850364897284,1.2808349172992166
26,fold5_2026-08-01,1004760,2026-08-02T10:29:00+00:00,2,8587,63140.0,63152.01,63140.0,63138.685437741326,63142.56169581713,12.010000000002037,0.0,-1.314562258674414,2.561695817130385
26,fold5_2026-08-01,1004760,2026-08-02T10:29:00+00:00,3,8587,63140.0,63171.66,63140.0,63137.31720193572,63143.84258270005,31.660000000003492,0.0,-2.682798064277449,3.842582700046478
27,fold5_2026-08-01,1005479,2026-08-02T22:28:00+00:00,1,8587,63587.86,63591.99,63587.86,63587.53040842212,63589.981935745694,4.129999999997381,0.0,-0.3295915778799099,2.121935745693918
27,fold5_2026-08-01,1005479,2026-08-02T22:28:00+00:00,2,8587,63587.86,63578.0,63587.86,63587.564817278384,63592.357256828735,-9.860000000000582,0.0,-0.2951827216165839,4.497256828733953
27,fold5_2026-08-01,1005479,2026-08-02T22:28:00+00:00,3,8587,63587.86,63556.83,63587.86,63587.28036867469,63595.01969507155,-31.029999999998836,0.0,-0.5796313253085827,7.159695071546594
28,fold5_2026-08-01,1006199,2026-08-03T10:28:00+00:00,1,8587,62756.31,62742.02,62756.31,62757.535406966825,62754.847548842255,-14.290000000000873,0.0,1.225406966826995,-1.46245115774218
28,fold5_2026-08-01,1006199,2026-08-03T10:28:00+00:00,2,8587,62756.31,62715.6,62756.31,62758.519280327084,62753.38513176496,-40.70999999999913,0.0,2.2092803270861623,-2.924868235037138
28,fold5_2026-08-01,1006199,2026-08-03T10:28:00+00:00,3,8587,62756.31,62716.0,62756.31,62759.32649594986,62751.92274888147,-40.30999999999767,0.0,3.0164959498652024,-4.387251118525455
29,fold5_2026-08-01,1006918,2026-08-03T22:27:00+00:00,1,8587,63528.0,63535.64,63528.0,63527.12530075364,63523.31043238888,7.639999999999418,0.0,-0.874699246356613,-4.689567611123493
29,fold5_2026-08-01,1006918,2026-08-03T22:27:00+00:00,2,8587,63528.0,63535.63,63528.0,63525.50588874946,63518.6212109565,7.629999999997381,0.0,-2.4941112505403,-9.378789043497818
29,fold5_2026-08-01,1006918,2026-08-03T22:27:00+00:00,3,8587,63528.0,63532.01,63528.0,63523.00080271516,63516.06642078431,4.010000000002037,0.0,-4.999197284836555,-11.933579215692589
30,fold5_2026-08-01,1007637,2026-08-04T10:26:00+00:00,1,8587,63508.62,63494.0,63508.62,63508.826996220814,63510.31119002792,-14.62000000000262,0.0,0.20699622081156122,1.6911900279155816
30,fold5_2026-08-01,1007637,2026-08-04T10:26:00+00:00,2,8587,63508.62,63470.21,63508.62,63508.81149451448,63512.00242509105,-38.41000000000349,0.0,0.19149451447447063,3.3824250910474802
30,fold5_2026-08-01,1007637,2026-08-04T10:26:00+00:00,3,8587,63508.62,63470.0,63508.62,63508.846840688566,63513.6937053061,-38.62000000000262,0.0,0.22684068856324302,5.07370530609478
